Date;Q
1926-07-25;61.3
1926-07-26;76.0
1926-07-27;58.9
1926-07-28;53.2
1926-07-29;62.5
1926-07-30;57.7
1926-07-31;105.0
1926-08-01;78.5
1926-08-02;53.2
1926-08-03;47.5
1926-08-04;50.9
1926-08-05;98.9
1926-08-06;170.0
1926-08-07;102.0
1926-08-08;86.4
1926-08-09;81.0
1926-08-10;132.0
1926-08-11;106.0
1926-08-12;107.0
1926-08-13;146.0
1926-08-14;120.0
1926-08-15;113.0
1926-08-16;92.9
1926-08-17;76.0
1926-08-18;67.7
1926-08-19;65.1
1926-08-20;123.0
1926-08-21;76.0
1926-08-22;93.2
1926-08-23;82.5
1926-08-24;87.5
1926-08-25;76.6
1926-08-26;62.3
1926-08-27;53.9
1926-08-28;56.0
1926-08-29;76.0
1926-08-30;62.2
1926-08-31;67.3
1926-09-01;50.5
1926-09-02;53.2
1926-09-03;101.0
1926-09-04;70.0
1926-09-05;57.7
1926-09-06;83.7
1926-09-07;99.7
1926-09-08;95.1
1926-09-09;89.3
1926-09-10;91.5
1926-09-11;174.0
1926-09-12;132.0
1926-09-13;195.0
1926-09-14;314.0
1926-09-15;224.0
1926-09-16;163.0
1926-09-17;110.0
1926-09-18;90.5
1926-09-19;100.0
1926-09-20;111.0
1926-09-21;193.0
1926-09-22;147.0
1926-09-23;118.0
1926-09-24;124.0
1926-09-25;110.0
1926-09-26;95.0
1926-09-27;84.5
1926-09-28;159.0
1926-09-29;216.0
1926-09-30;146.0
1926-10-01;161.0
1926-10-02;110.0
1926-10-03;114.0
1926-10-04;119.0
1926-10-05;111.0
1926-10-06;100.0
1926-10-07;106.0
1926-10-08;192.0
1926-10-09;274.0
1926-10-10;280.0
1926-10-11;176.0
1926-10-12;307.0
1926-10-13;510.0
1926-10-14;591.0
1926-10-15;410.0
1926-10-16;451.0
1926-10-17;264.0
1926-10-18;284.0
1926-10-19;247.0
1926-10-20;188.0
1926-10-21;156.0
1926-10-22;139.0
1926-10-23;167.0
1926-10-24;166.0
1926-10-25;130.0
1926-10-26;117.0
1926-10-27;185.0
1926-10-28;218.0
1926-10-29;172.0
1926-10-30;138.0
1926-10-31;127.0
1926-11-01;118.0
1926-11-02;106.0
1926-11-03;106.0
1926-11-04;93.5
1926-11-05;90.5
1926-11-06;138.0
1926-11-07;186.0
1926-11-08;127.0
1926-11-09;110.0
1926-11-10;313.0
1926-11-11;289.0
1926-11-12;254.0
1926-11-13;271.0
1926-11-14;177.0
1926-11-15;139.0
1926-11-16;126.0
1926-11-17;114.0
1926-11-18;110.0
1926-11-19;96.5
1926-11-20;90.5
1926-11-21;84.0
1926-11-22;81.6
1926-11-23;76.0
1926-11-24;76.0
1926-11-25;73.2
1926-11-26;70.4
1926-11-27;67.7
1926-11-28;70.2
1926-11-29;66.4
1926-11-30;61.3
1926-12-01;60.6
1926-12-02;61.8
1926-12-03;60.1
1926-12-04;55.4
1926-12-05;53.2
1926-12-06;52.1
1926-12-07;49.4
1926-12-08;46.6
1926-12-09;46.6
1926-12-10;46.6
1926-12-11;44.3
1926-12-12;42.5
1926-12-13;41.5
1926-12-14;40.5
1926-12-15;39.6
1926-12-16;38.7
1926-12-17;37.8
1926-12-18;37.8
1926-12-19;37.8
1926-12-20;37.8
1926-12-21;37.8
1926-12-22;37.8
1926-12-23;37.8
1926-12-24;36.9
1926-12-25;36.9
1926-12-26;36.9
1926-12-27;36.9
1926-12-28;36.9
1926-12-29;36.9
1926-12-30;36.9
1926-12-31;36.9
1927-01-01;36.0
1927-01-02;36.0
1927-01-03;36.0
1927-01-04;36.0
1927-01-05;36.0
1927-01-06;36.0
1927-01-07;36.0
1927-01-08;36.0
1927-01-09;36.0
1927-01-10;36.9
1927-01-11;35.9
1927-01-12;35.2
1927-01-13;71.8
1927-01-14;68.1
1927-01-15;41.5
1927-01-16;39.6
1927-01-17;40.5
1927-01-18;41.5
1927-01-19;31.2
1927-01-20;28.8
1927-01-21;27.3
1927-01-22;25.9
1927-01-23;25.2
1927-01-24;24.5
1927-01-25;24.5
1927-01-26;23.9
1927-01-27;23.9
1927-01-28;23.3
1927-01-29;23.3
1927-01-30;22.7
1927-01-31;22.1
1927-02-01;22.1
1927-02-02;22.1
1927-02-03;21.5
1927-02-04;21.5
1927-02-05;20.9
1927-02-06;20.9
1927-02-07;20.3
1927-02-08;20.3
1927-02-09;19.7
1927-02-10;19.7
1927-02-11;19.7
1927-02-12;19.1
1927-02-13;19.1
1927-02-14;18.5
1927-02-15;18.5
1927-02-16;18.5
1927-02-17;18.0
1927-02-18;18.0
1927-02-19;17.5
1927-02-20;17.5
1927-02-21;17.5
1927-02-22;17.5
1927-02-23;17.0
1927-02-24;16.5
1927-02-25;16.5
1927-02-26;16.5
1927-02-27;19.7
1927-02-28;18.0
1927-03-01;16.5
1927-03-02;17.0
1927-03-03;16.5
1927-03-04;16.5
1927-03-05;15.5
1927-03-06;15.5
1927-03-07;15.5
1927-03-08;15.5
1927-03-09;15.5
1927-03-10;15.0
1927-03-11;15.0
1927-03-12;14.5
1927-03-13;14.5
1927-03-14;14.5
1927-03-15;14.5
1927-03-16;15.5
1927-03-17;15.6
1927-03-18;17.0
1927-03-19;17.0
1927-03-20;21.9
1927-03-21;37.4
1927-03-22;28.6
1927-03-23;58.9
1927-03-24;20.9
1927-03-25;18.0
1927-03-26;17.0
1927-03-27;16.5
1927-03-28;18.5
1927-03-29;22.7
1927-03-30;17.0
1927-03-31;16.0
1927-04-01;15.5
1927-04-02;18.0
1927-04-03;17.5
1927-04-04;14.0
1927-04-05;14.0
1927-04-06;13.5
1927-04-07;13.5
1927-04-08;13.0
1927-04-09;12.5
1927-04-10;12.5
1927-04-11;13.3
1927-04-12;12.5
1927-04-13;12.5
1927-04-14;13.0
1927-04-15;38.9
1927-04-16;39.5
1927-04-17;36.2
1927-04-18;30.4
1927-04-19;28.8
1927-04-20;27.3
1927-04-21;23.3
1927-04-22;20.9
1927-04-23;19.7
1927-04-24;19.7
1927-04-25;19.5
1927-04-26;20.3
1927-04-27;19.4
1927-04-28;29.0
1927-04-29;26.7
1927-04-30;43.0
1927-05-01;34.4
1927-05-02;62.6
1927-05-03;63.0
1927-05-04;47.9
1927-05-05;35.0
1927-05-06;36.1
1927-05-07;26.6
1927-05-08;74.6
1927-05-09;85.7
1927-05-10;46.6
1927-05-11;51.4
1927-05-12;207.0
1927-05-13;193.0
1927-05-14;96.5
1927-05-15;93.5
1927-05-16;114.0
1927-05-17;120.0
1927-05-18;99.6
1927-05-19;107.0
1927-05-20;111.0
1927-05-21;84.5
1927-05-22;65.1
1927-05-23;53.2
1927-05-24;49.9
1927-05-25;46.6
1927-05-26;428.0
1927-05-27;475.0
1927-05-28;208.0
1927-05-29;258.0
1927-05-30;344.0
1927-05-31;332.0
1927-06-01;165.0
1927-06-02;152.0
1927-06-03;148.0
1927-06-04;106.0
1927-06-05;243.0
1927-06-06;160.0
1927-06-07;319.0
1927-06-08;184.0
1927-06-09;179.0
1927-06-10;152.0
1927-06-11;179.0
1927-06-12;174.0
1927-06-13;126.0
1927-06-14;184.0
1927-06-15;135.0
1927-06-16;114.0
1927-06-17;93.5
1927-06-18;170.0
1927-06-19;93.5
1927-06-20;156.0
1927-06-21;319.0
1927-06-22;148.0
1927-06-23;135.0
1927-06-24;106.0
1927-06-25;106.0
1927-06-26;99.6
1927-06-27;90.5
1927-06-28;89.0
1927-06-29;165.0
1927-06-30;130.0
1927-07-01;491.0
1927-07-02;218.0
1927-07-03;143.0
1927-07-04;152.0
