Date;Q
1930-05-17;100.5
1930-05-18;85.0
1930-05-19;71.5
1930-05-20;58.0
1930-05-21;59.5
1930-05-22;150.0
1930-05-23;196.0
1930-05-24;215.0
1930-05-25;181.0
1930-05-26;145.0
1930-05-27;100.5
1930-05-28;155.0
1930-05-29;114.0
1930-05-30;95.0
1930-05-31;71.5
1930-06-01;71.5
1930-06-02;78.0
1930-06-03;117.0
1930-06-04;117.0
1930-06-05;123.0
1930-06-06;100.5
1930-06-07;114.0
1930-06-08;170.0
1930-06-09;191.0
1930-06-10;296.0
1930-06-11;232.0
1930-06-12;326.0
1930-06-13;422.0
1930-06-14;252.0
1930-06-15;176.0
1930-06-16;138.0
1930-06-17;120.0
1930-06-18;106.0
1930-06-19;98.0
1930-06-20;92.5
1930-06-21;95.0
1930-06-22;106.0
1930-06-23;95.0
1930-06-24;158.0
1930-06-25;191.0
1930-06-26;144.0
1930-06-27;103.0
1930-06-28;90.0
1930-06-29;85.0
1930-06-30;80.5
1930-07-01;60.5
1930-07-02;132.0
1930-07-03;148.0
1930-07-04;111.5
1930-07-05;87.5
1930-07-06;78.0
1930-07-07;71.5
1930-07-08;67.0
1930-07-09;132.0
1930-07-10;100.5
1930-07-11;95.0
1930-07-12;230.0
1930-07-13;151.0
1930-07-14;123.0
1930-07-15;114.0
1930-07-16;120.0
1930-07-17;95.0
1930-07-18;87.5
1930-07-19;80.5
1930-07-20;85.0
1930-07-21;189.0
1930-07-22;138.0
1930-07-23;103.0
1930-07-24;95.0
1930-07-25;114.0
1930-07-26;123.0
1930-07-27;106.0
1930-07-28;85.0
1930-07-29;78.0
1930-07-30;76.0
1930-07-31;69.0
1930-08-01;69.0
1930-08-02;69.0
1930-08-03;106.0
1930-08-04;90.0
1930-08-05;71.5
1930-08-06;62.5
1930-08-07;67.0
1930-08-08;67.0
1930-08-09;80.5
1930-08-10;71.5
1930-08-11;67.0
1930-08-12;67.0
1930-08-13;56.0
1930-08-14;124.0
1930-08-15;80.5
1930-08-16;148.0
1930-08-17;108.5
1930-08-18;92.5
1930-08-19;90.0
1930-08-20;95.0
1930-08-21;71.5
1930-08-22;62.5
1930-08-23;67.0
1930-08-24;113.0
1930-08-25;58.0
1930-08-26;76.0
1930-08-27;78.0
1930-08-28;80.5
1930-08-29;82.5
1930-08-30;114.0
1930-08-31;100.5
1930-09-01;129.0
1930-09-02;73.5
1930-09-03;62.5
1930-09-04;56.0
1930-09-05;52.0
1930-09-06;56.5
1930-09-07;73.5
1930-09-08;58.0
1930-09-09;58.0
1930-09-10;52.0
1930-09-11;71.5
1930-09-12;108.5
1930-09-13;76.0
1930-09-14;56.0
1930-09-15;58.0
1930-09-16;51.0
1930-09-17;75.5
1930-09-18;99.5
1930-09-19;56.0
1930-09-20;46.0
1930-09-21;60.5
1930-09-22;45.0
1930-09-23;51.0
1930-09-24;45.0
1930-09-25;41.2
1930-09-26;37.8
