Date;Q
1934-03-10;23.5
1934-03-11;22.3
1934-03-12;22.3
1934-03-13;32.2
1934-03-14;42.0
1934-03-15;32.2
1934-03-16;26.2
1934-03-17;24.8
1934-03-18;26.2
1934-03-19;23.5
1934-03-20;23.5
1934-03-21;22.3
1934-03-22;20.9
1934-03-23;19.6
1934-03-24;19.6
1934-03-25;19.0
1934-03-26;18.4
1934-03-27;18.4
1934-03-28;19.6
1934-03-29;19.6
1934-03-30;19.6
1934-03-31;23.5
1934-04-01;108.0
1934-04-02;69.0
1934-04-03;50.0
1934-04-04;33.8
1934-04-05;40.2
1934-04-06;80.0
1934-04-07;60.5
1934-04-08;117.0
1934-04-09;90.0
1934-04-10;132.0
1934-04-11;103.0
1934-04-12;78.0
1934-04-13;53.0
1934-04-14;53.0
1934-04-15;83.0
1934-04-16;73.5
1934-04-17;90.0
1934-04-18;69.0
1934-04-19;67.0
1934-04-20;69.0
1934-04-21;80.5
1934-04-22;58.0
1934-04-23;50.0
1934-04-24;45.0
1934-04-25;42.0
1934-04-26;35.4
1934-04-27;36.2
1934-04-28;34.6
1934-04-29;30.6
1934-04-30;29.0
1934-05-01;67.5
1934-05-02;62.5
1934-05-03;112.5
1934-05-04;117.0
1934-05-05;356.0
1934-05-06;330.0
1934-05-07;268.0
1934-05-08;201.0
1934-05-09;180.0
1934-05-10;174.0
1934-05-11;158.0
1934-05-12;126.0
1934-05-13;241.0
1934-05-14;625.0
1934-05-15;280.0
1934-05-16;179.0
1934-05-17;194.0
1934-05-18;117.0
1934-05-19;92.5
1934-05-20;106.0
1934-05-21;144.0
1934-05-22;280.0
1934-05-23;218.0
1934-05-24;194.0
1934-05-25;191.0
1934-05-26;320.0
1934-05-27;252.0
1934-05-28;158.0
1934-05-29;126.0
1934-05-30;103.0
1934-05-31;100.5
1934-06-01;78.0
1934-06-02;78.0
1934-06-03;156.0
1934-06-04;114.0
1934-06-05;103.0
1934-06-06;114.0
1934-06-07;145.0
1934-06-08;151.0
1934-06-09;111.5
1934-06-10;103.0
1934-06-11;142.0
1934-06-12;165.0
1934-06-13;117.0
1934-06-14;100.5
1934-06-15;103.0
1934-06-16;100.5
1934-06-17;95.0
1934-06-18;85.0
1934-06-19;76.0
1934-06-20;164.0
1934-06-21;183.0
1934-06-22;145.0
1934-06-23;120.0
1934-06-24;236.0
1934-06-25;215.0
1934-06-26;179.0
1934-06-27;158.0
1934-06-28;114.0
1934-06-29;103.0
1934-06-30;87.5
1934-07-01;145.0
1934-07-02;123.0
1934-07-03;344.0
1934-07-04;165.0
1934-07-05;176.0
1934-07-06;252.0
1934-07-07;304.0
1934-07-08;292.0
1934-07-09;505.0
1934-07-10;222.0
1934-07-11;151.0
1934-07-12;123.0
1934-07-13;106.0
1934-07-14;207.0
1934-07-15;108.5
1934-07-16;98.0
1934-07-17;95.0
1934-07-18;99.5
1934-07-19;122.0
1934-07-20;95.0
1934-07-21;80.5
1934-07-22;177.0
1934-07-23;129.0
1934-07-24;165.0
1934-07-25;120.0
1934-07-26;186.0
1934-07-27;126.0
1934-07-28;100.5
1934-07-29;92.5
1934-07-30;80.5
1934-07-31;84.0
1934-08-01;103.0
1934-08-02;83.0
1934-08-03;106.0
1934-08-04;76.0
1934-08-05;67.0
1934-08-06;60.5
1934-08-07;58.0
1934-08-08;71.5
1934-08-09;65.0
1934-08-10;154.0
1934-08-11;90.0
1934-08-12;67.0
1934-08-13;76.0
1934-08-14;106.0
1934-08-15;126.0
1934-08-16;111.5
1934-08-17;85.0
1934-08-18;69.0
1934-08-19;83.0
1934-08-20;90.0
1934-08-21;73.5
1934-08-22;65.0
1934-08-23;71.5
1934-08-24;60.5
1934-08-25;56.0
1934-08-26;60.5
1934-08-27;55.0
1934-08-28;65.0
1934-08-29;117.0
1934-08-30;67.0
1934-08-31;52.0
1934-09-01;52.0
1934-09-02;50.0
1934-09-03;73.5
1934-09-04;132.0
1934-09-05;135.0
1934-09-06;108.5
1934-09-07;194.0
1934-09-08;108.5
1934-09-09;76.0
1934-09-10;85.0
1934-09-11;98.0
1934-09-12;108.5
1934-09-13;92.5
1934-09-14;129.0
1934-09-15;106.0
1934-09-16;98.0
1934-09-17;117.0
1934-09-18;95.0
1934-09-19;90.0
1934-09-20;73.5
1934-09-21;69.0
1934-09-22;76.0
1934-09-23;94.5
1934-09-24;103.0
1934-09-25;129.0
1934-09-26;145.0
1934-09-27;183.0
1934-09-28;207.0
1934-09-29;170.0
1934-09-30;262.0
1934-10-01;278.0
1934-10-02;252.0
1934-10-03;165.0
1934-10-04;165.0
1934-10-05;262.0
1934-10-06;155.0
1934-10-07;117.0
1934-10-08;111.5
1934-10-09;98.0
1934-10-10;111.5
1934-10-11;95.0
1934-10-12;90.0
1934-10-13;80.5
1934-10-14;103.0
1934-10-15;179.0
1934-10-16;186.0
1934-10-17;169.0
1934-10-18;132.0
1934-10-19;103.0
1934-10-20;103.0
1934-10-21;98.0
1934-10-22;148.0
1934-10-23;155.0
1934-10-24;158.0
1934-10-25;179.0
1934-10-26;138.0
1934-10-27;191.0
1934-10-28;162.0
1934-10-29;172.0
1934-10-30;162.0
1934-10-31;138.0
1934-11-01;117.0
1934-11-02;173.0
1934-11-03;151.0
1934-11-04;106.0
1934-11-05;108.5
1934-11-06;106.0
1934-11-07;87.5
1934-11-08;87.5
1934-11-09;98.0
1934-11-10;85.0
1934-11-11;135.0
1934-11-12;108.5
1934-11-13;142.0
1934-11-14;132.0
1934-11-15;173.0
1934-11-16;155.0
1934-11-17;126.0
1934-11-18;191.0
1934-11-19;155.0
1934-11-20;176.0
1934-11-21;145.0
1934-11-22;114.0
1934-11-23;106.0
1934-11-24;100.5
1934-11-25;95.0
1934-11-26;87.5
1934-11-27;85.0
1934-11-28;80.5
1934-11-29;83.0
1934-11-30;92.5
1934-12-01;83.0
1934-12-02;83.0
1934-12-03;78.0
1934-12-04;71.5
1934-12-05;71.5
1934-12-06;111.5
1934-12-07;80.5
1934-12-08;71.5
1934-12-09;67.0
1934-12-10;62.5
1934-12-11;69.0
1934-12-12;188.0
1934-12-13;135.0
1934-12-14;98.0
1934-12-15;83.0
1934-12-16;83.0
1934-12-17;76.0
1934-12-18;71.5
1934-12-19;85.0
1934-12-20;80.5
1934-12-21;69.0
1934-12-22;65.0
1934-12-23;60.5
1934-12-24;58.0
1934-12-25;56.0
1934-12-26;55.0
1934-12-27;54.0
1934-12-28;54.0
1934-12-29;53.0
1934-12-30;52.0
1934-12-31;51.0
1936-01-01;35.4
1936-01-02;34.6
1936-01-03;33.8
1936-01-04;33.0
1936-01-05;32.2
1936-01-06;32.2
1936-01-07;31.4
1936-01-08;31.4
1936-01-09;30.6
1936-01-10;29.8
1936-01-11;29.8
1936-01-12;29.0
1936-01-13;28.2
1936-01-14;28.2
1936-01-15;27.6
1936-01-16;27.6
1936-01-17;27.6
1936-01-18;27.6
1936-01-19;26.2
1936-01-20;26.2
1936-01-21;26.2
1936-01-22;25.4
1936-01-23;25.4
1936-01-24;25.4
1936-01-25;26.2
1936-01-26;33.8
1936-01-27;33.8
1936-01-28;32.2
1936-01-29;29.0
1936-01-30;31.4
1936-01-31;30.6
1936-02-01;27.6
1936-02-02;26.2
1936-02-03;24.8
1936-02-04;29.0
1936-02-05;29.0
1936-02-06;28.2
1936-02-07;24.8
1936-02-08;24.1
1936-02-09;23.5
1936-02-10;22.9
1936-02-11;22.9
1936-02-12;22.9
1936-02-13;22.9
1936-02-14;22.3
1936-02-15;22.3
1936-02-16;21.6
1936-02-17;20.9
1936-02-18;20.9
1936-02-19;20.9
1936-02-20;20.2
1936-02-21;20.2
1936-02-22;20.2
1936-02-23;20.2
1936-02-24;21.6
1936-02-25;28.2
1936-02-26;24.1
1936-02-27;21.6
1936-02-28;20.2
1936-02-29;19.6
1936-03-01;19.6
1936-03-02;20.2
1936-03-03;19.6
1936-03-04;19.6
1936-03-05;19.6
1936-03-06;19.0
1936-03-07;18.4
1936-03-08;18.4
1936-03-09;18.4
1936-03-10;17.8
1936-03-11;17.3
1936-03-12;17.3
1936-03-13;19.0
1936-03-14;19.0
1936-03-15;27.6
1936-03-16;23.5
1936-03-17;20.9
1936-03-18;19.0
1936-03-19;18.4
1936-03-20;18.4
1936-03-21;17.8
1936-03-22;22.3
1936-03-23;29.0
1936-03-24;29.0
1936-03-25;25.4
1936-03-26;20.9
1936-03-27;19.0
1936-03-28;17.8
1936-03-29;17.3
1936-03-30;16.8
1936-03-31;16.3
1936-04-01;15.8
1936-04-02;15.8
1936-04-03;15.3
1936-04-04;15.3
1936-04-05;14.8
1936-04-06;14.8
1936-04-07;14.3
1936-04-08;14.3
1936-04-09;13.8
1936-04-10;13.8
1936-04-11;13.8
1936-04-12;14.3
1936-04-13;15.8
1936-04-14;19.6
1936-04-15;20.9
1936-04-16;52.0
1936-04-17;43.0
1936-04-18;27.6
1936-04-19;19.6
1936-04-20;19.0
1936-04-21;27.6
1936-04-22;39.4
1936-04-23;40.2
1936-04-24;29.8
1936-04-25;37.8
1936-04-26;38.6
1936-04-27;49.0
1936-04-28;33.8
1936-04-29;27.6
1936-04-30;26.8
1936-05-01;25.4
1936-05-02;31.4
1936-05-03;60.5
1936-05-04;76.0
1936-05-05;115.0
1936-05-06;111.5
1936-05-07;144.0
1936-05-08;168.0
1936-05-09;162.0
1936-05-10;117.0
1936-05-11;98.0
1936-05-12;103.0
1936-05-13;120.0
1936-05-14;158.0
1936-05-15;126.0
1936-05-16;292.0
1936-05-17;292.0
1936-05-18;488.0
1936-05-19;585.0
1936-05-20;292.0
1936-05-21;304.0
1936-05-22;304.0
1936-05-23;316.0
1936-05-24;230.0
1936-05-25;172.0
1936-05-26;138.0
1936-05-27;210.0
1936-05-28;162.0
1936-05-29;151.0
1936-05-30;126.0
1936-05-31;100.5
1936-06-01;252.0
1936-06-02;158.0
1936-06-03;206.0
1936-06-04;142.0
1936-06-05;252.0
1936-06-06;202.0
1936-06-07;218.0
1936-06-08;191.0
1936-06-09;420.0
1936-06-10;234.0
1936-06-11;262.0
1936-06-12;172.0
1936-06-13;165.0
1936-06-14;132.0
1936-06-15;145.0
1936-06-16;129.0
1936-06-17;132.0
1936-06-18;187.0
1936-06-19;135.0
1936-06-20;123.0
1936-06-21;238.0
1936-06-22;169.0
1936-06-23;172.0
1936-06-24;206.0
1936-06-25;206.0
1936-06-26;126.0
1936-06-27;103.0
1936-06-28;92.5
1936-06-29;172.0
1936-06-30;132.0
1936-07-01;100.5
1936-07-02;92.5
1936-07-03;114.0
1936-07-04;114.0
1936-07-05;123.0
1936-07-06;132.0
1936-07-07;103.0
1936-07-08;98.0
1936-07-09;111.5
1936-07-10;76.0
1936-07-11;71.5
1936-07-12;69.0
1936-07-13;67.0
1936-07-14;87.5
1936-07-15;69.0
